bls_power,depth_ppm,duration_hrs,snr_stacked,sec_ratio,odd_even,sin_corr,duty_cycle,scatter_ppm,pp_scatter,best_period,transit_frac,fap_proxy,n_transits,shape_score,trend_power,depth_sig,label
35.6618324936478,833.9272271465703,3.84,3.678949144878823,-0.42739970166862556,0.4388620524645805,-0.28634250291132435,0.09466923190765132,910.3759803264008,603.8803132658032,1.690095047523762,0.09013785790031813,1.027452031578876,14,1.0420703249677907,10.810870017232102,0.9160240704324261,planet
59.28035148583505,873.2625306467374,1.92,3.250460306976385,0.0579973727475628,0.08051261631671282,0.004248539206132586,0.018712848116077693,666.1913488974496,598.9898387926962,4.275137568784393,0.017624521072796936,3.1156979773956115,6,0.6624286150034766,5.586965207390969,1.3108264183639897,blend
84.86169860025014,5199.925490058004,1.92,2.2298962140687624,-0.012577680420273069,0.1173468017391304,0.0030820877616021046,0.020801248699271593,6196.333493328362,5922.582906604745,3.84592296148074,0.020594770124765,4.657050183537182,7,1.1383586651871531,7.289323441075115,0.8391938000856475,planet
89.64481290405394,5670.064217616196,1.92,2.6061133795455085,-0.003163226149635583,0.5240547006834992,-0.0007927744524651933,0.01732892669447906,4920.137970957134,4620.291643175234,4.61655827913957,0.014522375215146299,2.8771561152479457,5,1.0039064132866597,17.32430355933561,1.1524195253601093,blend
20.809066699796038,1397.6456663653532,3.84,2.5011881222396797,-0.656174695087143,0.4456411338126087,0.2991382148464888,0.033593109967440395,1263.2672631982368,894.4632889358872,4.76288144072036,0.031569173630454965,1.3397417484503507,5,0.8801097652337186,136.21376445791182,1.1063728165123938,planet
36.053958290756896,398.1539806368451,3.84,3.2126149384815745,-0.14567210876320366,0.4337628870012345,0.00570846397343499,0.02506976015049381,256.8148990331045,229.65724785828368,6.382191095547774,0.02459016393442623,2.417068341584388,4,0.5223776845937019,1.3624764080157055,1.5503478645047657,planet
343.43028571310106,1247.6966721370995,3.84,4.820706172772109,-0.03134438871384013,0.11657486679915902,-0.0018704062108897365,0.049967192626152165,780.8198821580877,616.9589088617089,3.2021010505252625,0.030255314362838827,3.2272362394366794,8,0.8137545185817487,5.553954190848688,1.5979294363755074,blend
12.131749453047274,4900.105540933569,1.92,2.667229407696179,0.18156433878203904,0.10037792854245689,-0.025442759099715342,0.0066070358817575245,2631.950639146571,2546.959490060341,12.108304152076037,0.007692307692307693,1.3946225456458423,2,0.5356375097222281,51.075149232735306,1.8617764354220667,planet
133.85042534786055,1662.3690777139982,2.88,2.4632391659242203,-0.3854962208213797,0.627462670020418,0.05481085609248858,0.18022539444027047,4062.812762799733,3778.6787118120337,0.6658329164582291,0.18071631360559073,7.861195448797165,35,2.418392934871107,26.04678192646108,0.4091669406397895,blend
23.032517269679158,10645.760944693997,1.92,1.4338947001990578,-0.06895840390509622,0.44879144783695696,-0.0024679419509773632,0.01031242946961148,12934.375517527345,12037.405868589423,7.757628814407203,0.009597741707833451,1.7763330557000758,3,1.2860058824549838,59.926127955495105,0.8230594594388025,planet
761.3216090542197,6131.594913442601,2.88,6.651487197719029,0.06285737023584148,0.1075053743353947,-0.015408844974202465,0.05510049385551854,3417.471877280875,2896.2549265456605,2.17783891945973,0.052386753793332595,5.845352836735247,11,0.526389734354074,19.25020745557372,1.7941897810528424,planet
207.24133463716814,9466.644138063853,3.84,8.875707280878078,-0.06629776088993596,0.07571835212785455,-0.17973202948175665,0.03856979198070545,3049.138077957608,2246.3095161081583,4.148324162081041,0.03966789667896679,4.54364263651665,5,0.22552076762084028,57.32629350603327,3.104694110707753,planet
321.4324455348823,10435.450209680163,0.96,6.412888411687155,-0.027866723781881406,0.18288288687287133,-0.004092812048811964,0.015342991461191596,5090.929133097083,4631.299846443116,2.607053526763382,0.015156017830609212,5.953659733346379,9,0.45944958497306776,14.697829909927995,2.0498121044398863,planet
59.05701049672096,2217.929134759207,3.84,4.625311202461624,0.015649214266825834,0.9232536120615337,-0.06976351191488309,0.014296761504592899,735.814962376392,533.0435820692925,11.191345672836418,0.013963480128893663,1.5015263976452902,2,0.43963550346609226,59.6537115627704,3.0142443874092932,planet
23.12159741000886,375.7680889717355,2.88,3.0063969928085172,0.08439650101164693,0.3330508951297682,0.00942351610938001,0.10062080536912751,579.5518858349575,509.21462187969445,1.1925962981490745,0.10128913443830571,2.1102508715952015,20,1.7626537013284638,5.6411883708687185,0.6483758396446758,planet
219.33961035082913,16178.538842554202,1.92,7.555611262713019,0.12462114620466082,0.4567592396091972,0.0020795261893600822,0.037065708656854796,7915.173041130028,2481.951302572838,2.158329164582291,0.03501167055685228,2.2452762746688437,12,0.3811417192319941,216.78001702574826,2.0439902847978866,blend
27.877265817092642,2340.054431740332,3.84,2.7536526243181,-0.41505997874499906,0.5851657988942851,0.1983715797845782,0.024917419756933627,1535.293794391946,347.0497509075465,6.421210605302651,0.02373887240356083,1.1342963732215823,3,0.2689270025821923,42.686022605606034,1.5241727128157896,planet
16.50536148462965,1896.9196752789862,3.84,2.078475416966309,0.10887389108423137,0.12281819033333485,-0.00826612378671122,0.07446798603026775,3132.150904938412,2963.1268332641625,2.148574287143572,0.07281553398058252,1.7619874308188825,12,1.5263030264048139,33.62605044565635,0.6056282494754308,planet
116.83566620998165,15348.288647206631,3.84,7.231850424870924,-0.6918929167574718,0.37456889549840094,-0.16532049665902598,0.1129179170344219,11270.482609728882,2290.94753937642,1.4169584792396197,0.11666666666666667,4.921937626042949,19,0.3040379399056593,66.95545587820241,1.3618127827236906,planet
11.975950034093529,2764.554048275635,0.96,3.030165033592316,-0.2487277735266631,0.06900753749043192,0.03786857317754147,0.005458206764735998,1597.7178711351544,1515.435978402646,7.328414207103552,0.006756756756756757,1.489649384211241,3,0.46855873970953466,24.3565157973964,1.73031319728449,planet
155.65278674695216,984.8039649830199,2.88,8.897767225361875,-0.12302437283240533,0.15835686575670085,0.21968711733501356,0.06082150101419878,439.4932255249277,301.5218736943659,1.9729864932466232,0.06478578892371996,4.565067032185067,11,0.3295432866850129,13.187035836228516,2.240766562533966,blend
1075.464396580707,8202.326948938247,2.88,7.745467172744469,0.024241468250532413,0.07524370531975805,0.052491825031106394,0.0514157110706248,3934.8362104545686,3120.8556004690413,2.3339169584792394,0.055900621118012424,6.804822224065268,10,0.4104837379179625,57.957900771988164,2.084540353320152,planet
10.987739989998953,2292.096533543595,0.96,3.860414400322052,0.23829976650967585,0.0,-0.009810640659839533,0.0033466569007010566,846.8848171188561,804.0966109792436,11.952226113056529,0.0017699115044247787,1.3751594126122446,2,0.0,7.71082807627929,2.706500082078846,planet
133.5181857461822,1409.3275573942417,1.92,4.964085450638847,0.10173799192152785,0.1929576456313175,0.13457495111353734,0.025448758752387016,780.9687588967392,541.5484751110089,3.1435717858929464,0.02531645569620253,1.5497766173634526,7,0.4978235671613449,33.51813128648569,1.8045865942173884,blend
21.448749578721955,392.1697752929127,3.84,2.9214938522367646,-0.15326592795726385,0.19237123540401227,0.08800142155560885,0.06502134580199227,414.8382092353337,353.6940317185877,2.4607303651825916,0.05660377358490566,1.5634200962541607,9,1.1438298319762916,29.993407412545245,0.9453536853852189,planet
39.420436666863864,2826.690610869506,3.84,1.2086011630237998,0.05084208514203788,0.09534960391026254,0.0015575155180862915,0.03387059197288997,5288.799513376967,4949.977312853515,4.723861930965483,0.03826955074875208,2.8341744795599997,5,1.789977506426003,14.457300580021151,0.5344672395413582,planet
18.71197239674197,953.6876464756268,3.84,1.7869106366485046,-0.5752731596751939,0.10392542672885148,-0.2632895243356295,0.012066929505197034,763.7249804105496,520.9365698782831,13.259379689844923,0.0190325138778747,1.2692276528062407,2,0.6259532574386552,111.27426190012949,1.2487301348095572,planet
